training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.38317782,0.69936526,-1.3165699,-76.85605,-97.14711,13.327259,-13.396623,121.62991,-0.23109446,-76.638596,-97.1176,0.087892555,0.0013726143836975098,986.2476761341095,450000
0.41656318,1.024839,0.0,-77.99401,-96.1986,8.774567,-11.898626,79.85465,-0.041765824,-77.82554,-96.15471,0.040297493,0.0013513809204101562,993.0045847892761,455000
0.37869585,0.4547857,0.0,-80.11043,-98.82442,2.6683767,-2.2632449,37.267365,0.01127702,-79.98621,-98.81112,0.06121642,0.0013515974998474121,999.7625756263733,460000
0.43168634,1.2289839,0.0,-78.683556,-96.22687,11.227004,-10.358306,104.20723,0.19593655,-78.47449,-96.187935,0.06398381,0.0013520957946777344,1006.5230579376221,465000
0.40220228,0.7987375,0.0,-78.82979,-98.36447,3.822189,-5.25181,50.403088,0.1874867,-78.56312,-98.324875,0.059406355,0.0013481855392456054,1013.2639915943146,470000
0.4184276,1.0434585,0.0,-75.946945,-96.14867,12.684853,-10.58778,79.11777,-0.2714815,-75.69475,-96.1049,0.06063714,0.0013402447700500489,1019.9652290344238,475000
0.45113492,0.57983404,0.0,-78.94156,-97.83849,6.9224625,-8.327429,77.78995,-0.40927875,-78.78717,-97.81508,0.101504505,0.0013232521057128907,1026.5814938545227,480000
0.43235344,0.4913844,0.0,-76.76338,-98.337975,6.6665306,-5.185025,53.87559,-0.038441926,-76.5394,-98.35866,0.06640512,0.001325521421432495,1033.2091042995453,485000
0.40682554,0.5965574,0.0,-78.90544,-95.886696,3.6330998,-3.9368763,56.454475,0.302764,-78.72635,-95.8215,0.044424877,0.0013248178958892823,1039.8331980705261,490000
0.35608757,0.42715096,0.0,-78.96413,-96.12644,2.0091903,-2.8210192,30.696732,-0.28089967,-78.78115,-96.087524,0.030924927,0.0014006888389587401,1046.8366467952728,495000
0.42751238,0.79390836,-1.7175423,-78.03412,-97.49797,2.5864089,-4.6219144,50.336815,-0.5403805,-77.78046,-97.47198,0.1123903,0.0014092341899871825,1053.8828210830688,500000
