training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,time/epoch_time,time/total_time,step
83.03422,0.39526904,0.03549647,0.19381385,-82.28398,82.28398,0.8387877,-7.6115303,-82.60777,-102.76346,8.046046,-15.487524,92.862175,0.010104087686538697,4351.569922685623,375000
82.06656,0.41447467,0.030080548,0.1951316,-81.35128,81.35128,1.0056155,0.35214943,-81.63168,-102.38427,3.2490966,-7.058846,59.49179,0.010036350345611572,4401.751708030701,380000
84.15037,0.36871913,0.030676588,0.1985356,-83.474884,83.474884,0.3408646,0.18769814,-83.65842,-102.167435,2.732138,-1.3894,27.704952,0.010081616020202636,4452.159811973572,385000
82.59373,0.44030267,0.034747146,0.20239225,-81.805954,81.805954,0.48503536,-8.674294,-82.02463,-102.19098,1.3616555,-2.1229622,25.608837,0.010020200061798096,4502.260843753815,390000
77.55967,0.3770622,0.03732713,0.21861917,-76.80933,76.80933,0.7101017,0.042568535,-77.01542,-102.14863,5.096653,-3.2079856,57.37802,0.010100849723815917,4552.76512503624,395000
81.646965,0.38568443,0.035002865,0.19732663,-80.911255,80.911255,0.4634779,0.5592269,-81.04065,-102.357834,2.029979,-1.9443839,31.373848,0.010123491144180298,4603.382614612579,400000
84.24527,0.44295722,0.029222902,0.20483932,-83.510086,83.510086,0.32057822,-5.1976843,-83.713005,-101.7717,1.833406,-0.83002424,24.29711,0.06019825849533081,4904.373953819275,405000
83.60278,0.39515787,0.024211042,0.17603293,-82.965515,82.965515,0.26442146,1.1899635,-83.050064,-102.36803,0.83933455,-1.2541589,21.9481,0.010084658288955689,4954.797277212143,410000
82.30434,0.39776438,0.032554496,0.19790557,-81.581024,81.581024,0.50497353,0.29034543,-81.817764,-101.594864,1.6230246,-2.2909927,32.564102,0.009929085731506348,5004.44274020195,415000
83.34256,0.3682005,0.029754316,0.17795919,-82.67682,82.67682,0.37263638,0.3175267,-82.84631,-102.19468,1.3981698,-1.0908844,23.739998,0.010150036001205445,5055.192941904068,420000
